location,site,species,id,number,fl,tl,wt,month,season,year
creek,upstream,common shiner,,2,91,101,16.8,october,fall,2023
creek,upstream,common shiner,,1,73,82,7.6,october,fall,2023
creek,upstream,common shiner,,1,101,112,109,october,fall,2023
creek,upstream,common shiner,,1,102,113,11.3,october,fall,2023
creek,upstream,common shiner,,1,94,105,10,october,fall,2023
creek,upstream,common shiner,,1,67,75,3.9,october,fall,2023
creek,upstream,common shiner,,1,73,82,4.1,october,fall,2023
creek,upstream,common shiner,,1,72,81,4.5,october,fall,2023
creek,upstream,common shiner,,7,62,67,3.2,october,fall,2023
creek,upstream,common shiner,,1,120,132,22.9,october,fall,2023
creek,upstream,common shiner,,1,128,141,24.8,october,fall,2023
creek,upstream,common shiner,,4,103,114,51.1,october,fall,2023
creek,upstream,common shiner,,2,95,105,14.6,october,fall,2023
creek,upstream,common shiner,,2,104,115,24.5,october,fall,2023
creek,upstream,common shiner,,1,148,162,36.6,october,fall,2023
creek,upstream,common shiner,,1,90,100,7.5,october,fall,2023
creek,upstream,common shiner,,1,92,102,8.7,october,fall,2023
creek,upstream,common shiner,,1,83,91,5.2,october,fall,2023
creek,upstream,common shiner,,1,91,101,8.9,october,fall,2023
creek,upstream,common shiner,,1,97,107,8.9,october,fall,2023
creek,upstream,common shiner,,1,85,95,5.7,october,fall,2023
creek,upstream,common shiner,,1,100,112,10,october,fall,2023
creek,upstream,common shiner,,9,67,74,26,october,fall,2023
creek,upstream,common shiner,,1,127,139,25.2,october,fall,2023
creek,upstream,common shiner,,1,135,146,28.6,october,fall,2023
creek,upstream,common shiner,,1,118,130,20.3,october,fall,2023
creek,upstream,common shiner,,1,83,92,6.5,october,fall,2023
creek,upstream,common shiner,,1,101,111,10.5,october,fall,2023
creek,upstream,common shiner,,4,95,106,30.6,october,fall,2023
creek,upstream,common shiner,,1,108,119,13.3,october,fall,2023
creek,upstream,common shiner,,8,87,96,49.1,october,fall,2023
creek,upstream,common shiner,,1,117,130,20,october,fall,2023
creek,upstream,common shiner,,1,108,119,13.3,october,fall,2023
creek,upstream,common shiner,,3,92,102,22.9,october,fall,2023
creek,upstream,common shiner,,2,94,104,18.2,october,fall,2023
creek,upstream,common shiner,,10,70,78,36.1,october,fall,2023
creek,upstream,common shiner,,1,55,62,1.8,october,fall,2023
creek,upstream,common shiner,,1,72,80,3.9,october,fall,2023
creek,upstream,common shiner,,1,58,65,1.6,october,fall,2023
creek,upstream,common shiner,,6,88,97,77.3,october,fall,2023
creek,upstream,common shiner,,1,113,124,13.5,october,fall,2023
creek,upstream,common shiner,,11,99,110,105.3,october,fall,2023
creek,upstream,common shiner,,8,85,94,42.3,october,fall,2023
creek,upstream,common shiner,,1,83,91,5.6,october,fall,2023
creek,upstream,common shiner,,3,70,78,11.5,october,fall,2023
creek,upstream,common shiner,,1,54,59,1.8,october,fall,2023
creek,upstream,common shiner,,1,88,97,6.5,october,fall,2023
creek,upstream,common shiner,,1,105,115,13.1,october,fall,2023
creek,upstream,common shiner,,1,81,90,5.6,october,fall,2023
creek,upstream,common shiner,,1,74,82,3.9,october,fall,2023
creek,upstream,common shiner,,1,95,104,6.1,october,fall,2023
creek,upstream,common shiner,,28,65,73,103.5,october,fall,2023
creek,upstream,common shiner,,14,77,87,52.7,october,fall,2023
creek,upstream,common shiner,,14,70,77,54,october,fall,2023
creek,upstream,common shiner,,6,95,105,45.1,october,fall,2023
creek,upstream,common shiner,,4,110,122,63.4,october,fall,2023
creek,upstream,common shiner,,7,103,115,84.2,october,fall,2023
creek,upstream,common shiner,,14,90,99,109.6,october,fall,2023
creek,upstream,common shiner,,8,85,95,57.5,october,fall,2023
creek,upstream,common shiner,,1,137,150,29.5,october,fall,2023
creek,upstream,common shiner,,1,106,117,11.9,october,fall,2023
creek,upstream,common shiner,,1,106,118,11.9,october,fall,2023
creek,upstream,common shiner,,1,105,115,11.3,october,fall,2023
creek,upstream,common shiner,CR5-023-CS-1,1,115,127,17.6,october,fall,2023
creek,upstream,common shiner,CR5-023-CS-2,1,96,107,9.5,october,fall,2023
creek,upstream,common shiner,,1,89,99,7.1,october,fall,2023
creek,upstream,common shiner,,1,105,114,12,october,fall,2023
creek,upstream,common shiner,,1,88,98,7.8,october,fall,2023
creek,upstream,common shiner,,1,95,105,8.6,october,fall,2023
creek,upstream,common shiner,,1,98,107,9.5,october,fall,2023
creek,upstream,common shiner,,1,67,74,3.1,october,fall,2023
creek,upstream,common shiner,,1,90,101,7.2,october,fall,2023
creek,upstream,common shiner,,1,91,101,7.5,october,fall,2023
creek,upstream,common shiner,,1,87,97,6.1,october,fall,2023
creek,Upstream Weir,common shiner,,1,102,110,9.9,august,summer,2022
creek,CC,common shiner,,1,98,107,8.3,august,summer,2022
creek,CC,common shiner,,1,92,101,9.1,august,summer,2022
creek,EF4,common shiner,,1,72,80,3.7,august,summer,2022
lake,OP2,common shiner,,1,147,161,45.5,august,summer,2022
lake,OP2,common shiner,,1,119,130,22.4,august,summer,2022
lake,OP2,common shiner,,1,117,129,21.4,august,summer,2022
lake,OP2,common shiner,,1,124,135,24.3,august,summer,2022
lake,OP7,common shiner,,1,138,150,22.3,october,fall,2022
lake,OP7,common shiner,,1,143,157,32,october,fall,2022
lake,OP9,common shiner,,1,135,149,46.9,august,summer,2022
creek,Upstream Weir,common shiner,,1,107,118,15.3,august,summer,2022
creek,CC,creek chub,,1,100,107,10.5,august,summer,2022
creek,CC,creek chub,,1,100,107,10.5,august,summer,2022
creek,CC,creek chub,,1,72,76,4.3,august,summer,2022
creek,CC,creek chub,,1,100,108,10,august,summer,2022
creek,CC,creek chub,,1,114,124,13.1,august,summer,2022
creek,CC,creek chub,,1,109,116,,august,summer,2022
creek,CC,creek chub,,6,113,120,86.1,august,summer,2022
creek,CC,creek chub,,2,118,127,42.5,august,summer,2022
creek,CC,creek chub,,1,138,147,30,august,summer,2022
creek,CC,creek chub,,1,134,140,25.8,august,summer,2022
creek,CC,creek chub,,1,133,141,26.4,august,summer,2022
creek,CC,creek chub,,1,143,154,30.7,august,summer,2022
creek,CC,creek chub,,1,131,140,26.3,august,summer,2022
creek,CC,creek chub,,1,133,140,24.5,august,summer,2022
creek,CC,creek chub,,1,127,136,22.2,august,summer,2022
creek,CC,creek chub,,1,127,135,23.5,august,summer,2022
creek,CC,creek chub,,10,102,110,164.8,august,summer,2022
creek,CC,creek chub,,1,138,149,30.4,august,summer,2022
creek,CC,creek chub,,1,156,165,41.1,august,summer,2022
creek,CC,creek chub,,1,202,212,91.6,august,summer,2022
creek,CC,creek chub,,1,182,193,74.1,august,summer,2022
creek,CC,creek chub,,1,197,205,77.9,august,summer,2022
creek,CC,creek chub,,1,176,182,56.9,august,summer,2022
creek,CC,creek chub,,1,158,169,48.3,august,summer,2022
creek,CC,creek chub,,1,169,179,56.8,august,summer,2022
creek,CC,creek chub,,1,160,168,51.9,august,summer,2022
creek,CC,creek chub,,1,150,157,43.5,august,summer,2022
creek,CC,creek chub,,1,148,156,36.2,august,summer,2022
creek,CC,creek chub,,1,156,162,40,august,summer,2022
creek,CC,creek chub,,1,143,156,32.1,august,summer,2022
creek,CC,creek chub,,1,132,140,27,august,summer,2022
creek,CC,creek chub,,13,97,107,105.5,august,summer,2022
creek,CC,creek chub,,8,94,110,91.5,august,summer,2022
creek,CC,creek chub,,1,120,128,17.5,august,summer,2022
creek,CC,creek chub,,1,100,108,10,august,summer,2022
creek,CC,creek chub,,1,114,124,13.1,august,summer,2022
creek,CC,creek chub,,1,109,116,,august,summer,2022
creek,CC,creek chub,,6,113,120,86.1,august,summer,2022
creek,CC,creek chub,,2,118,127,42.5,august,summer,2022
creek,CC,creek chub,,1,100,107,10.5,august,summer,2022
creek,CC,creek chub,,1,72,76,4.3,august,summer,2022
creek,CC,creek chub,,2,89,93,10,october,fall,2022
creek,CC,creek chub,,1,60,64,1.2,october,fall,2022
creek,CC,creek chub,,1,72,77,3,october,fall,2022
creek,CC,creek chub,,16,111,119,230,october,fall,2022
creek,CC,creek chub,,1,75,81,4.3,october,fall,2022
creek,CC,creek chub,,1,79,84,4.6,october,fall,2022
creek,CC,creek chub,,1,175,185,50.3,october,fall,2022
creek,CC,creek chub,,1,187,199,77.9,october,fall,2022
creek,CC,creek chub,,1,130,140,24.7,october,fall,2022
creek,CC,creek chub,,1,152,161,36.1,october,fall,2022
creek,CC,creek chub,,1,138,146,29.5,october,fall,2022
creek,CC,creek chub,,6,89,95,38.4,october,fall,2022
creek,CC,creek chub,,1,90,98,8.3,october,fall,2022
creek,CC,creek chub,,1,74,80,3.2,october,fall,2022
creek,CC,creek chub,,5,105,112,66.8,october,fall,2022
creek,CC,creek chub,,1,143,153,30,october,fall,2022
creek,CC,creek chub,,1,115,123,17.8,october,fall,2022
creek,CC,creek chub,,1,108,115,10,october,fall,2022
creek,CC,creek chub,,1,110,118,12.4,october,fall,2022
creek,CC,creek chub,,1,93,100,7.2,october,fall,2022
creek,CC,creek chub,,1,85,92,5.8,october,fall,2022
creek,CC,creek chub,,1,140,148,27.9,october,fall,2022
creek,CC,creek chub,,1,125,134,20,october,fall,2022
creek,CC,creek chub,,1,90,97,7.2,october,fall,2022
creek,CC,creek chub,,1,120,128,17.2,october,fall,2022
creek,CC,creek chub,,1,99,105,8.6,october,fall,2022
creek,CC,creek chub,,5,158,166,215.9,october,fall,2022
creek,CC,creek chub,,6,142,153,187,october,fall,2022
creek,CC,creek chub,,5,120,127,75.6,october,fall,2022
creek,CC,creek chub,,3,181,192,257.4,october,fall,2022
creek,CC,creek chub,,3,186,197,166.8,october,fall,2022
creek,CC,creek chub,,3,165,175,163.3,october,fall,2022
creek,CC,creek chub,,2,182,191,159.3,october,fall,2022
creek,CC,creek chub,,2,166,176,109.2,october,fall,2022
creek,CC,creek chub,,7,119,127,136.3,october,fall,2022
creek,CC,creek chub,,1,140,150,31.3,october,fall,2022
creek,CC,creek chub,,4,152,160,116.3,october,fall,2022
creek,CC,creek chub,,1,109,117,14.4,october,fall,2022
creek,CC,creek chub,,1,99,107,10,october,fall,2022
creek,CC,creek chub,,1,195,203,93.5,october,fall,2022
creek,CC,creek chub,,1,80,85,5.5,october,fall,2022
creek,CC,creek chub,,8,104,111,70,october,fall,2022
creek,CC,creek chub,,1,77,83,4.7,october,fall,2022
creek,CC,creek chub,,8,109,116,132.8,october,fall,2022
creek,CC,creek chub,,3,135,145,89,october,fall,2022
creek,CC,creek chub,,3,132,137,90,october,fall,2022
creek,CC,creek chub,,3,170,180,127.6,october,fall,2022
creek,CC,creek chub,,1,145,153,31.1,october,fall,2022
creek,CC10-22-187,creek chub,,5,100,107,53,may,spring,2022
creek,CC10-22-188,creek chub,,1,102,107,14,may,spring,2022
creek,CC10-22-189,creek chub,,1,95,102,7,may,spring,2022
creek,CC11-22-191,creek chub,,1,99,108,10,may,spring,2022
creek,CC12-22-197,creek chub,,1,116,125,19,may,spring,2022
creek,CC12-22-198,creek chub,,1,95,103,9,may,spring,2022
creek,CC14-22-221,creek chub,,1,127,134,19,may,spring,2022
creek,CC14-22-222,creek chub,,1,83,86,5,may,spring,2022
creek,CC16-22-228,creek chub,,1,134,143,29,may,spring,2022
creek,CC16-22-229,creek chub,,1,83,89,6,may,spring,2022
creek,CC16-22-235,creek chub,,1,105,113,9,may,spring,2022
creek,CC16-22-236,creek chub,,1,124,134,25,may,spring,2022
creek,CC16-22-237,creek chub,,1,96,101,4,may,spring,2022
creek,CC16-22-240,creek chub,,1,85,92,6,may,spring,2022
creek,CC18-22-442,creek chub,,1,94,102,9,may,spring,2022
creek,CC18-22-443,creek chub,,1,89,96,7.5,may,spring,2022
creek,CC19-22-362,creek chub,,1,123,130,9.5,may,spring,2022
creek,CC19-22-365,creek chub,,1,113,119,12,may,spring,2022
creek,CC2-22-453,creek chub,,1,117,125,13,may,spring,2022
creek,CC2-22-454,creek chub,,1,99,106,12,may,spring,2022
creek,CC2-22-455,creek chub,,8,115,122,32,may,spring,2022
creek,CC20-22,creek chub,,6,70,75,48,may,spring,2022
creek,CC20-22,creek chub,,24,114,122,302,may,spring,2022
creek,CC20-22,creek chub,,1,102,109,12,may,spring,2022
creek,CC20-22,creek chub,,17,164,173,498,may,spring,2022
creek,CC21-22-371,creek chub,,1,100,107,13,may,spring,2022
creek,CC21-22-372,creek chub,,1,113,120,16,may,spring,2022
creek,CC22-22,creek chub,,25,126,133,575,may,spring,2022
creek,CC22-22,creek chub,,9,106,108,105,may,spring,2022
creek,CC22-22-373,creek chub,,1,130,139,26,may,spring,2022
creek,CC22-22-374,creek chub,,1,104,110,13,may,spring,2022
creek,CC22-22-375,creek chub,,1,95,101,10,may,spring,2022
creek,CC22-22-376,creek chub,,1,135,143,28,may,spring,2022
creek,CC23,creek chub,,1,13.9,14.5,32.7,august,summer,2022
creek,CC23,creek chub,,1,13,13.6,27.2,august,summer,2022
creek,CC23,creek chub,,1,10.9,11.6,16.5,august,summer,2022
creek,CC23,creek chub,,1,10.5,11.1,13.9,august,summer,2022
creek,CC23-22-492,creek chub,,2,86,91,13,may,spring,2022
creek,CC23-22-493,creek chub,,3,122,133,60,may,spring,2022
creek,CC24,creek chub,,1,78,84,5.1,august,summer,2022
creek,CC24,creek chub,,1,82,87,5.3,august,summer,2022
creek,CC24,creek chub,,1,82,93,6.6,august,summer,2022
creek,CC24,creek chub,,1,81,85,6.8,august,summer,2022
creek,CC24,creek chub,,16,71,75,67.2,august,summer,2022
creek,CC24,creek chub,,16,79,84,91.4,august,summer,2022
creek,CC24,creek chub,,1,146,15.5,30,august,summer,2022
creek,CC24,creek chub,,1,111,119,15.2,august,summer,2022
creek,CC24,creek chub,,13,12,12.7,196,august,summer,2022
creek,CC24,creek chub,,11,89,9.7,131.8,august,summer,2022
creek,CC24,creek chub,,4,92,10,35.7,august,summer,2022
creek,CC25-22-430,creek chub,,1,112,120,8.5,may,spring,2022
creek,CC25-22-431,creek chub,,19,104,110,149.5,may,spring,2022
creek,CC5-22-470,creek chub,,1,120,128,15,may,spring,2022
creek,CC5-22-471,creek chub,,11,131,139,245,may,spring,2022
creek,CC5-22-472,creek chub,,1,103,110,12,may,spring,2022
creek,CC5-22-473,creek chub,,17,103,110,175,may,spring,2022
creek,CC5-22-474,creek chub,,12,85,91,65,may,spring,2022
creek,CC8-22-162,creek chub,,1,124,133,23,may,spring,2022
creek,CC8-22-163,creek chub,,1,101,106,9,may,spring,2022
creek,CC9-22-169,creek chub,,6,101,108,81,may,spring,2022
creek,CC9-22-174,creek chub,,1,85,91,5,may,spring,2022
creek,CC9-22-175,creek chub,,1,109,115,15,may,spring,2022
creek,CC9-22-176,creek chub,,1,89,104,NA,may,spring,2022
creek,CR1,creek chub,,1,126,135,21.3,august,summer,2023
creek,CR1,creek chub,,1,100,108,9.4,may,spring,2023
creek,CR1,creek chub,,1,105,112,11.3,may,spring,2023
creek,CR1,creek chub,,1,95,101,9.1,may,spring,2023
creek,CR1,creek chub,,1,105,122,12.1,october,fall,2023
creek,CR1,creek chub,,1,120,128,16.5,october,fall,2023
creek,CR1,creek chub,,1,140,147,21.9,october,fall,2023
creek,CR1,creek chub,,1,67,73,3.2,october,fall,2023
creek,CR10,creek chub,,1,94,100,8.6,august,summer,2023
creek,CR10,creek chub,,1,90,100,9,august,summer,2023
creek,CR10,creek chub,,1,83,87,7.7,august,summer,2023
creek,CR10,creek chub,,1,73,78,4.3,august,summer,2023
creek,CR10,creek chub,,1,81,87,6,august,summer,2023
creek,CR10,creek chub,,1,92,98,8,august,summer,2023
creek,CR10,creek chub,,1,69,73,3.8,august,summer,2023
creek,CR10,creek chub,,1,85,91,7.2,august,summer,2023
creek,CR10,creek chub,,1,80,86,6.2,august,summer,2023
creek,CR10,creek chub,,1,80,86,6.8,august,summer,2023
creek,CR10,creek chub,,1,111,118,16.3,august,summer,2023
creek,CR10,creek chub,,1,90,96,7.5,august,summer,2023
creek,CR10,creek chub,,1,70,82,5.7,august,summer,2023
creek,CR10,creek chub,,1,82,87,6.6,august,summer,2023
creek,CR10,creek chub,,1,100,106,12.2,august,summer,2023
creek,CR10,creek chub,,1,85,91,6.6,august,summer,2023
creek,CR10,creek chub,,1,72,81,4.6,august,summer,2023
creek,CR10,creek chub,,1,79,86,5.6,august,summer,2023
creek,CR10,creek chub,,1,87,93,7.3,august,summer,2023
creek,CR10,creek chub,,1,98,109,12.8,august,summer,2023
creek,CR10,creek chub,,1,88,91,7.3,august,summer,2023
creek,CR10,creek chub,,1,110,117,16.1,august,summer,2023
creek,CR10,creek chub,,1,96,102,10.6,august,summer,2023
creek,CR10,creek chub,,1,73,77,4,august,summer,2023
creek,CR10,creek chub,,1,78,83,5.3,august,summer,2023
creek,CR10,creek chub,,1,89,95,8.4,august,summer,2023
creek,CR10,creek chub,,1,92,98,8.4,august,summer,2023
creek,CR10,creek chub,,1,69,74,3.4,august,summer,2023
creek,CR10,creek chub,,1,74,78,4.2,august,summer,2023
creek,CR10,creek chub,,13,68,73,70,august,summer,2023
creek,CR10,creek chub,,8,78,84,48,august,summer,2023
creek,CR10,creek chub,,1,130,136,24.3,may,spring,2023
creek,CR10,creek chub,,1,130,138,23.7,may,spring,2023
creek,CR2,creek chub,,1,120,127,22.5,may,spring,2023
creek,CR2,creek chub,,1,133,142,25.1,may,spring,2023
creek,CR2,creek chub,,1,130,140,22.5,october,fall,2023
creek,CR2,creek chub,,1,113,120,15.7,october,fall,2023
creek,CR2,creek chub,,1,151,159,36.2,october,fall,2023
creek,CR2,creek chub,,1,150,158,36.7,october,fall,2023
creek,CR2,creek chub,,1,150,158,34,october,fall,2023
creek,CR2,creek chub,,1,122,130,20,october,fall,2023
creek,CR2,creek chub,,1,116,125,15.1,october,fall,2023
creek,CR3,creek chub,,1,159,168,46.3,august,summer,2023
creek,CR3,creek chub,,1,132,140,30.6,august,summer,2023
creek,CR3,creek chub,,1,153,162,39,october,fall,2023
creek,CR3,creek chub,,1,155,164,37.3,october,fall,2023
creek,CR3,creek chub,,1,112,120,13.4,october,fall,2023
creek,CR3,creek chub,,1,123,130,19.5,october,fall,2023
creek,CR3,creek chub,,1,122,127,16.1,october,fall,2023
creek,CR3,creek chub,,1,142,152,30,october,fall,2023
creek,CR3,creek chub,,1,95,103,9.2,october,fall,2023
creek,CR3,creek chub,,1,101,109,11.4,october,fall,2023
creek,CR4,creek chub,,1,108,116,13.4,august,summer,2023
creek,CR4,creek chub,,1,113,121,13.9,august,summer,2023
creek,CR4,creek chub,,1,126,135,21.8,august,summer,2023
creek,CR4,creek chub,,1,110,117,17,august,summer,2023
creek,CR4,creek chub,,1,127,134,21.1,august,summer,2023
creek,CR4,creek chub,,1,108,115,14.2,august,summer,2023
creek,CR5,creek chub,,1,145,156,38.1,august,summer,2023
creek,CR5,creek chub,,1,156,166,45.1,august,summer,2023
creek,CR5,creek chub,,1,115,123,15.5,august,summer,2023
creek,CR5,creek chub,,1,165,175,50.3,august,summer,2023
creek,CR5,creek chub,,1,165,175,50.3,august,summer,2023
creek,CR5,creek chub,,1,126,137,26.7,august,summer,2023
creek,CR5,creek chub,,1,146,154,47.6,august,summer,2023
creek,CR5,creek chub,,1,104,113,9.4,august,summer,2023
creek,CR5,creek chub,,1,180,190,64.9,august,summer,2023
creek,CR5,creek chub,,1,177,185,63.1,august,summer,2023
creek,CR5,creek chub,,1,134,143,29.1,august,summer,2023
creek,CR5,creek chub,,1,175,185,53.2,august,summer,2023
creek,CR5,creek chub,,1,192,202,76.8,august,summer,2023
creek,CR5,creek chub,,1,153,163,37.2,august,summer,2023
creek,CR5,creek chub,,1,184,193,70,august,summer,2023
creek,CR5,creek chub,,1,150,159,36.5,august,summer,2023
creek,CR5,creek chub,,1,118,126,18.5,august,summer,2023
creek,CR5,creek chub,,1,130,139,24.3,may,spring,2023
creek,CR5,creek chub,,1,130,137,21.8,may,spring,2023
creek,CR5,creek chub,,1,115,123,17.8,may,spring,2023
creek,CR5,creek chub,,1,135,142,24.8,may,spring,2023
creek,CR5,creek chub,,1,112,120,15.7,may,spring,2023
creek,CR5,creek chub,,1,94,101,8.1,may,spring,2023
creek,CR5,creek chub,,1,72,77,3.9,may,spring,2023
creek,CR5,creek chub,,1,137,146,25.8,october,fall,2023
creek,CR5,creek chub,,1,190,200,79.5,october,fall,2023
creek,CR5,creek chub,,1,150,158,34,october,fall,2023
creek,CR5,creek chub,,1,178,189,63.6,october,fall,2023
creek,CR5,creek chub,,1,158,168,43.4,october,fall,2023
creek,CR5,creek chub,,2,157,163,93.9,october,fall,2023
creek,CR5,creek chub,,3,125,135,72.8,october,fall,2023
creek,CR5,creek chub,,5,135,144,107.9,october,fall,2023
creek,CR5,creek chub,,6,132,141,99.6,october,fall,2023
creek,CR5,creek chub,,3,145,153,85,october,fall,2023
creek,CR5,creek chub,,1,161,172,43.2,october,fall,2023
creek,CR5,creek chub,,5,115,124,96.2,october,fall,2023
creek,CR5,creek chub,,1,98,106,7.8,october,fall,2023
creek,CR6,creek chub,,1,115,124,14.8,august,summer,2023
creek,CR6,creek chub,,1,112,120,14.7,august,summer,2023
creek,CR6,creek chub,,1,184,193,69.5,august,summer,2023
creek,CR6,creek chub,,1,127,136,22,august,summer,2023
creek,CR6,creek chub,,1,133,142,20,august,summer,2023
creek,CR6,creek chub,,1,112,119,11.9,august,summer,2023
creek,CR6,creek chub,,1,103,110,10.4,august,summer,2023
creek,CR6,creek chub,,1,107,113,12.7,august,summer,2023
creek,CR6,creek chub,,1,100,107,9.8,august,summer,2023
creek,CR6,creek chub,,1,135,145,26.1,october,fall,2023
creek,CR6,creek chub,,1,132,140,22.2,october,fall,2023
creek,CR6,creek chub,,1,159,174,40,october,fall,2023
creek,CR6,creek chub,,1,112,120,13.2,october,fall,2023
creek,CR6,creek chub,,1,121,130,18.4,october,fall,2023
creek,CR6,creek chub,,1,150,159,34.5,october,fall,2023
creek,CR6,creek chub,,1,180,191,55.2,october,fall,2023
creek,CR6,creek chub,CR6-O23-CC-1,1,112,121,12.2,october,fall,2023
creek,CR6,creek chub,CR6-O23-CC-2,1,127,136,20,october,fall,2023
creek,CR6,creek chub,CR6-O23-CC-3,1,165,174,32.8,october,fall,2023
creek,CR6,creek chub,CR6-O23-CC-4,1,123,131,19.6,october,fall,2023
creek,CR6,creek chub,CR6-O23-CC-5,1,158,167,42,october,fall,2023
creek,CR6,creek chub,,1,132,136,,october,fall,2023
creek,CR6,creek chub,,1,125,131,19,october,fall,2023
creek,CR6,creek chub,,1,135,143,20.9,october,fall,2023
creek,CR6,creek chub,,1,95,101,6.1,october,fall,2023
creek,CR6,creek chub,,1,145,154,29.3,october,fall,2023
creek,CR6,creek chub,,5,120,125,85.9,october,fall,2023
creek,CR6,creek chub,,5,121,129,81.3,october,fall,2023
creek,CR6,creek chub,,5,120,128,90.9,october,fall,2023
creek,CR6,creek chub,,1,133,141,24.5,october,fall,2023
creek,CR6,creek chub,,1,135,144,25.5,october,fall,2023
creek,CR6,creek chub,,1,146,155,31.3,october,fall,2023
creek,CR6,creek chub,,1,135,145,25.6,october,fall,2023
creek,CR6,creek chub,,4,108,116,44.5,october,fall,2023
creek,CR6,creek chub,,3,110,118,35.2,october,fall,2023
creek,CR6,creek chub,,1,82,91,5.2,october,fall,2023
creek,CR7,creek chub,,1,168,176,49.7,august,summer,2023
creek,CR7,creek chub,,1,115,122,16.1,august,summer,2023
creek,CR7,creek chub,,1,137,145,26.6,august,summer,2023
creek,CR7,creek chub,,1,125,133,19.2,august,summer,2023
creek,CR7,creek chub,,6,45,102,47.5,august,summer,2023
creek,CR7,creek chub,,1,116,122,18.4,august,summer,2023
creek,CR7,creek chub,,1,115,122,15.8,may,spring,2023
creek,CR7,creek chub,,1,45,100,5.7,may,spring,2023
creek,CR7,creek chub,,1,142,150,28.7,may,spring,2023
creek,CR7,creek chub,,1,160,169,49.6,may,spring,2023
creek,CR7,creek chub,,1,156,166,45.2,may,spring,2023
creek,CR7,creek chub,,1,106,113,13.5,may,spring,2023
creek,CR7,creek chub,,1,113,122,17.3,may,spring,2023
creek,CR7,creek chub,,1,112,124,18.3,may,spring,2023
creek,CR7,creek chub,,1,133,142,24,may,spring,2023
creek,CR7,creek chub,,1,141,151,27.2,october,fall,2023
creek,CR7,creek chub,,1,121,131,20,october,fall,2023
creek,CR7,creek chub,,1,129,138,23.1,october,fall,2023
creek,CR7,creek chub,,1,107,114,13.4,october,fall,2023
creek,CR7,creek chub,,1,100,109,9.4,october,fall,2023
creek,CR8,creek chub,,1,136,145,23.1,august,summer,2023
creek,CR8,creek chub,,1,160,170,44.3,august,summer,2023
creek,CR8,creek chub,,1,150,160,38.8,august,summer,2023
creek,CR8,creek chub,,1,127,136,22.8,august,summer,2023
creek,CR8,creek chub,,1,94,98,19.3,august,summer,2023
creek,CR8,creek chub,,1,153,163,40.7,august,summer,2023
creek,CR8,creek chub,,1,165,175,54.5,august,summer,2023
creek,CR8,creek chub,,1,108,115,13.7,august,summer,2023
creek,CR8,creek chub,,1,137,146,24.3,august,summer,2023
creek,CR8,creek chub,,1,128,137,24,august,summer,2023
creek,CR8,creek chub,,1,136,145,30.4,august,summer,2023
creek,CR8,creek chub,,1,126,135,23.5,august,summer,2023
creek,CR8,creek chub,,1,117,125,19.9,august,summer,2023
creek,CR8,creek chub,,1,102,108,12.4,august,summer,2023
creek,CR8,creek chub,,1,145,155,33,august,summer,2023
creek,CR8,creek chub,,1,125,134,21.3,august,summer,2023
creek,CR8,creek chub,,5,94,100,60.9,august,summer,2023
creek,CR8,creek chub,,2,116,124,26.7,august,summer,2023
creek,CR8,creek chub,,1,62,67,2.6,august,summer,2023
creek,CR8,creek chub,,1,130,137,22.7,may,spring,2023
creek,CR8,creek chub,,1,120,127,20.8,may,spring,2023
creek,CR8,creek chub,,1,158,165,42.9,may,spring,2023
creek,CR8,creek chub,,1,130,137,28.9,may,spring,2023
creek,CR8,creek chub,,1,113,120,18.3,may,spring,2023
creek,CR8,creek chub,,1,112,118,15.8,may,spring,2023
creek,CR8,creek chub,,1,105,112,13.8,may,spring,2023
creek,CR8,creek chub,,1,120,127,21.3,may,spring,2023
creek,CR8,creek chub,,1,101,108,12.4,may,spring,2023
creek,CR8,creek chub,,1,131,140,26.1,october,fall,2023
creek,CR8,creek chub,,1,105,111,11.8,october,fall,2023
creek,CR8,creek chub,,1,63,67,2.1,october,fall,2023
creek,CR8,creek chub,,1,65,70,2.9,october,fall,2023
creek,CR8,creek chub,,1,101,111,12.1,october,fall,2023
creek,CR8,creek chub,,1,76,81,4.1,october,fall,2023
creek,CR8,creek chub,,1,70,77,3.6,october,fall,2023
creek,CR8,creek chub,,1,80,85,4.5,october,fall,2023
creek,CR9,creek chub,,1,123,132,20,august,summer,2023
creek,CR9,creek chub,,1,80,87,5.7,august,summer,2023
creek,CR9,creek chub,,1,72,76,4.2,august,summer,2023
creek,CR9,creek chub,,1,69,74,4.1,august,summer,2023
creek,CR9,creek chub,,1,70,75,4,august,summer,2023
creek,CR9,creek chub,,1,103,111,10.6,august,summer,2023
creek,CR9,creek chub,,1,85,90,6.8,august,summer,2023
creek,CR9,creek chub,,1,67,72,3.8,august,summer,2023
creek,CR9,creek chub,,7,70,75,29.3,august,summer,2023
creek,CR9,creek chub,,1,110,118,14.6,august,summer,2023
creek,CR9,creek chub,,1,112,120,13.8,august,summer,2023
creek,CR9,creek chub,,1,125,132,21.1,august,summer,2023
creek,CR9,creek chub,,1,212,219,101.6,may,spring,2023
creek,CR9,creek chub,,1,137,145,27.7,may,spring,2023
creek,CR9,creek chub,,1,131,140,26.3,may,spring,2023
creek,CR9,creek chub,,1,138,145,31.9,may,spring,2023
creek,CR9,creek chub,,1,128,137,21.8,may,spring,2023
creek,CR9,creek chub,,1,98,105,12.3,may,spring,2023
